Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,73.3136,62.530,,1.2,PASS
QC2,0.64,143.3694,180.935,13.44,1.4,PASS
QC3,1.02,93.2399,110.430,20.44,1.1,PASS
QC4,3.10,235.0900,218.984,87.38,1.0,PASS
Numb,4.00,,,,,
All peaks found

