Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,89.3813,67.025,,1.3,PASS
QC2,0.64,126.2894,184.313,13.18,1.3,PASS
QC4,3.10,227.4822,222.402,82.82,1.0,PASS
Numb,3.00,,,,,
All peaks not found

