Sample Name,Plat 2A S1-EVENT
Method Name,2A_S1_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,69.6898,60.918,9.38,1.2,PASS
QC2,0.64,102.1473,173.962,13.64,1.3,PASS
QC3,1.19,89.7732,111.170,30.94,1.0,PASS
QC4,3.10,214.5197,212.759,82.59,1.0,PASS
Numb,4.00,,,,,
All peaks found

