Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.33,70.5776,62.140,,1.2,PASS
QC2,0.64,137.1427,177.420,13.88,1.3,PASS
QC3,1.00,91.4495,108.522,19.62,1.0,PASS
QC4,3.10,225.8347,213.843,89.13,1.0,PASS
Numb,4.00,,,,,
All peaks found

