Sample Name,Plat 2A S1-EVENT
Method Name,2A_S1_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.33,74.8574,66.971,9.16,1.2,PASS
QC2,0.64,114.8294,187.316,13.98,1.3,PASS
QC3,1.19,98.8863,122.781,30.83,1.1,PASS
QC4,3.10,231.5949,228.422,82.68,1.0,PASS
Numb,4.00,,,,,
All peaks found

