Sample Name,Plat 2A S1-EVENT
Method Name,2A_S1_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,75.8984,67.414,9.33,1.2,PASS
QC2,0.65,111.7396,190.704,13.87,1.2,PASS
QC3,1.20,98.8896,122.706,30.99,1.1,PASS
QC4,3.10,232.3213,229.985,82.78,1.0,PASS
Numb,4.00,,,,,
All peaks found

