Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,71.9258,61.184,,1.2,PASS
QC2,0.64,142.6006,176.754,13.35,1.3,PASS
QC3,1.01,91.9613,108.264,19.92,1.0,PASS
QC4,3.10,230.4961,214.255,87.58,1.0,PASS
Numb,4.00,,,,,
All peaks found

