Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,80.1013,64.357,,1.2,PASS
QC2,0.65,148.1195,184.477,13.15,1.4,PASS
QC3,1.02,95.9352,113.450,20.44,1.1,PASS
QC4,3.10,235.9911,223.546,86.74,1.0,PASS
Numb,4.00,,,,,
All peaks found

