Sample Name,Plat 1A S1-EVENT
Method Name,1A_S1_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.41,72.4947,58.811,,1.2,PASS
QC2,0.73,110.6459,168.693,12.98,1.4,PASS
QC3,1.28,96.5019,107.861,27.83,1.3,PASS
QC4,3.18,224.2828,220.199,76.68,1.2,PASS
Numb,4.00,,,,,
All peaks found

