,id,date,hour,hostname,ip_address,sample_name,method_name,file_name,name,rt_min,area,height,usp_resolution,tailing,sst,numb,comment,created_at
16,17,2023-10-16,13:09:03,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-16 14-10-19+01-00.csv,QC1,0.34,216.7947,192.0210,,1.30,PASS,4.00,['All peaks found'],2023-10-16T13:09:03.623480Z
17,18,2023-10-16,13:09:03,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-16 14-10-19+01-00.csv,QC2,0.63,362.6531,531.5970,12.6700,1.30,PASS,4.00,['All peaks found'],2023-10-16T13:09:03.628175Z
18,19,2023-10-16,13:09:03,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-16 14-10-19+01-00.csv,QC3,1.19,288.2271,320.0740,29.4000,1.20,PASS,4.00,['All peaks found'],2023-10-16T13:09:03.632184Z
19,20,2023-10-16,13:09:03,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-16 14-10-19+01-00.csv,QC4,3.11,166.8593,153.7070,75.7600,1.10,PASS,4.00,['All peaks found'],2023-10-16T13:09:03.635406Z
20,1246,2023-11-24,05:18:47,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-41+00-00.csv,QC1,0.44,76.3556,63.6410,,1.30,PASS,4.00,['All peaks found'],2023-11-24T05:18:47.764943Z
21,1247,2023-11-24,05:18:47,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-41+00-00.csv,QC2,0.68,118.0025,180.6420,9.7300,1.30,PASS,4.00,['All peaks found'],2023-11-24T05:18:47.769615Z
22,1248,2023-11-24,05:18:47,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-41+00-00.csv,QC3,1.06,101.2130,111.5290,19.1100,1.20,PASS,4.00,['All peaks found'],2023-11-24T05:18:47.772830Z
23,1249,2023-11-24,05:18:47,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-41+00-00.csv,QC4,3.18,237.3473,230.5740,84.1600,1.20,PASS,4.00,['All peaks found'],2023-11-24T05:18:47.777074Z
24,1250,2023-11-24,05:18:51,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-33+00-00.csv,QC1,0.39,79.3574,36.5380,,2.70,FAIL,4.00,['All peaks found'],2023-11-24T05:18:51.871454Z
25,1251,2023-11-24,05:18:51,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-33+00-00.csv,QC2,0.65,41.4066,47.8690,0.3600,3.20,FAIL,4.00,['All peaks found'],2023-11-24T05:18:51.875389Z
26,1252,2023-11-24,05:18:51,DESKTOP-REMA8OU,10.0.4.33,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-11-24 05-20-33+00-00.csv,QC3,0.96,79.0650,70.7980,6.1800,1.10,PASS,4.00,['All peaks found'],2023-11-24T05:18:51.879777Z
27,28,2023-10-16,14:16:22,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-16 15-17-37+01-00.csv,QC1,0.43,204.0421,168.0150,,1.50,PASS,4.00,['All peaks found'],2023-10-16T14:16:22.024518Z
28,29,2023-10-16,14:16:22,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-16 15-17-37+01-00.csv,QC2,0.68,317.3378,451.6190,10.7100,1.40,PASS,4.00,['All peaks found'],2023-10-16T14:16:22.029410Z
29,30,2023-10-16,14:16:22,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-16 15-17-37+01-00.csv,QC3,1.29,277.8240,285.2760,28.9200,1.50,PASS,4.00,['All peaks found'],2023-10-16T14:16:22.033352Z
30,31,2023-10-16,14:16:22,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-16 15-17-37+01-00.csv,QC4,3.19,160.4162,144.0270,74.3300,1.50,PASS,4.00,['All peaks found'],2023-10-16T14:16:22.035836Z
31,32,2023-10-17,04:19:37,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-17 05-20-47+01-00.csv,QC1,0.44,123.3666,99.6270,,1.40,PASS,4.00,['All peaks found'],2023-10-17T04:19:37.263286Z
32,33,2023-10-17,04:19:37,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-17 05-20-47+01-00.csv,QC2,0.68,189.5628,260.1220,9.2800,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:19:37.268695Z
33,34,2023-10-17,04:19:37,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-17 05-20-47+01-00.csv,QC3,1.21,171.7637,162.8430,23.2500,1.40,PASS,4.00,['All peaks found'],2023-10-17T04:19:37.271241Z
34,35,2023-10-17,04:19:37,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-17 05-20-47+01-00.csv,QC4,3.21,377.3371,337.2500,71.3400,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:19:37.274462Z
35,36,2023-10-17,04:22:10,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-17 05-23-12+01-00.csv,QC1,0.43,207.2821,161.3300,,1.60,PASS,4.00,['All peaks found'],2023-10-17T04:22:10.595769Z
36,37,2023-10-17,04:22:10,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-17 05-23-12+01-00.csv,QC2,0.69,339.8595,426.8400,10.4000,1.50,PASS,4.00,['All peaks found'],2023-10-17T04:22:10.602392Z
37,38,2023-10-17,04:22:10,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-17 05-23-12+01-00.csv,QC3,1.07,281.6633,263.7370,16.0400,1.10,PASS,4.00,['All peaks found'],2023-10-17T04:22:10.607053Z
38,39,2023-10-17,04:22:10,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-17 05-23-12+01-00.csv,QC4,3.20,127.4933,109.9100,76.5600,1.60,PASS,4.00,['All peaks found'],2023-10-17T04:22:10.611174Z
39,40,2023-10-17,04:37:59,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-39-13+01-00.csv,QC1,0.35,119.1062,96.2280,,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:37:59.895331Z
40,41,2023-10-17,04:37:59,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-39-13+01-00.csv,QC2,0.59,185.3665,259.1980,9.5100,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:37:59.902623Z
41,42,2023-10-17,04:37:59,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-39-13+01-00.csv,QC3,1.11,163.0961,155.7580,22.8900,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:37:59.909098Z
42,43,2023-10-17,04:37:59,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-39-13+01-00.csv,QC4,3.11,368.4343,311.6700,69.0900,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:37:59.912940Z
43,44,2023-10-17,04:40:34,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-41-49+01-00.csv,QC1,0.34,232.2087,188.5980,,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:40:34.231701Z
44,45,2023-10-17,04:40:34,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-41-49+01-00.csv,QC2,0.59,330.5066,492.5770,10.7800,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:40:34.236164Z
45,46,2023-10-17,04:40:34,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-41-49+01-00.csv,QC3,0.90,290.0449,283.0210,14.1200,0.80,PASS,4.00,['All peaks found'],2023-10-17T04:40:34.239359Z
46,47,2023-10-17,04:40:34,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-17 05-41-49+01-00.csv,QC4,3.11,131.1086,120.6230,80.4100,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:40:34.242993Z
47,48,2023-10-17,04:56:14,PC-CZC124813X,192.168.254.99,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-10-17 05-57-28+01-00.csv,QC1,0.34,120.8580,100.2370,,1.30,PASS,4.00,['All peaks found'],2023-10-17T04:56:14.448063Z
48,49,2023-10-17,04:56:14,PC-CZC124813X,192.168.254.99,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-10-17 05-57-28+01-00.csv,QC2,0.58,191.0747,266.0850,9.7000,1.40,PASS,4.00,['All peaks found'],2023-10-17T04:56:14.454624Z
49,50,2023-10-17,04:56:14,PC-CZC124813X,192.168.254.99,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-10-17 05-57-28+01-00.csv,QC3,1.18,174.5945,176.3160,27.7800,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:56:14.458152Z
50,51,2023-10-17,04:56:14,PC-CZC124813X,192.168.254.99,Plat 2A S1-EVENT,2A_S1_6mins_QC.amx,Plat 2A S1-EVENT 2023-10-17 05-57-28+01-00.csv,QC4,3.10,373.8348,314.3660,68.1600,1.20,PASS,4.00,['All peaks found'],2023-10-17T04:56:14.461875Z
51,52,2023-10-17,05:06:11,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-17 06-07-26+01-00.csv,QC1,0.34,218.1119,193.7700,,1.30,PASS,4.00,['All peaks found'],2023-10-17T05:06:11.666493Z
52,53,2023-10-17,05:06:11,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-17 06-07-26+01-00.csv,QC2,0.61,362.5331,513.3350,12.0300,1.30,PASS,4.00,['All peaks found'],2023-10-17T05:06:11.671839Z
53,54,2023-10-17,05:06:11,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-17 06-07-26+01-00.csv,QC3,1.19,286.0505,313.0370,28.8700,1.20,PASS,4.00,['All peaks found'],2023-10-17T05:06:11.675052Z
54,55,2023-10-17,05:06:11,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S1-EVENT,Plat2A_AscC18_50mm_S1_QC.amx,Plat 2A S1-EVENT 2023-10-17 06-07-26+01-00.csv,QC4,3.11,131.9785,119.5700,74.1500,1.10,PASS,4.00,['All peaks found'],2023-10-17T05:06:11.678259Z
55,56,2023-10-17,05:14:06,PC-CZC124813X,192.168.254.99,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-15-21+01-00.csv,QC1,0.43,131.0081,100.5180,,1.90,FAIL,4.00,['All peaks found'],2023-10-17T05:14:06.855298Z
56,57,2023-10-17,05:14:06,PC-CZC124813X,192.168.254.99,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-15-21+01-00.csv,QC2,0.67,200.1694,264.0890,9.4700,1.40,PASS,4.00,['All peaks found'],2023-10-17T05:14:06.861072Z
57,58,2023-10-17,05:14:06,PC-CZC124813X,192.168.254.99,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-15-21+01-00.csv,QC3,1.29,180.6027,183.0510,28.4700,1.40,PASS,4.00,['All peaks found'],2023-10-17T05:14:06.865764Z
58,59,2023-10-17,05:14:06,PC-CZC124813X,192.168.254.99,Plat 1A S1-EVENT,1A_S1_6mins_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-15-21+01-00.csv,QC4,3.20,373.2909,330.2790,71.3700,1.40,PASS,4.00,['All peaks found'],2023-10-17T05:14:06.869531Z
59,60,2023-10-17,05:26:50,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-28-05+01-00.csv,QC1,0.43,213.1982,169.0680,,1.70,PASS,4.00,['All peaks found'],2023-10-17T05:26:50.642981Z
60,61,2023-10-17,05:26:50,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-28-05+01-00.csv,QC2,0.68,368.3384,441.6570,10.4300,1.60,PASS,4.00,['All peaks found'],2023-10-17T05:26:50.648691Z
61,62,2023-10-17,05:26:50,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-28-05+01-00.csv,QC3,1.29,282.0530,280.3330,28.1800,1.70,PASS,4.00,['All peaks found'],2023-10-17T05:26:50.652110Z
62,63,2023-10-17,05:26:50,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S1-EVENT,Plat1A_PoroC18_50mm_S1_QC.amx,Plat 1A S1-EVENT 2023-10-17 06-28-05+01-00.csv,QC4,3.19,126.8803,110.7520,73.2800,1.60,PASS,4.00,['All peaks found'],2023-10-17T05:26:50.655108Z
63,64,2023-10-18,04:19:52,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-18 05-21-01+01-00.csv,QC1,0.45,120.1421,96.5600,,1.50,PASS,4.00,['All peaks found'],2023-10-18T04:19:52.112533Z
64,65,2023-10-18,04:19:52,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-18 05-21-01+01-00.csv,QC2,0.68,183.5467,249.8780,9.1900,1.40,PASS,4.00,['All peaks found'],2023-10-18T04:19:52.117649Z
65,66,2023-10-18,04:19:52,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-18 05-21-01+01-00.csv,QC3,1.22,160.5326,150.9840,23.2500,1.40,PASS,4.00,['All peaks found'],2023-10-18T04:19:52.121133Z
66,67,2023-10-18,04:19:52,PC-CZC124813X,192.168.254.99,Plat 1A S2-EVENT,1A_S2_6mins_QC.amx,Plat 1A S2-EVENT 2023-10-18 05-21-01+01-00.csv,QC4,3.21,365.5327,323.2650,70.7900,1.40,PASS,4.00,['All peaks found'],2023-10-18T04:19:52.124687Z
67,68,2023-10-18,04:21:39,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-18 05-22-41+01-00.csv,QC1,0.43,210.7033,162.9790,,1.70,PASS,4.00,['All peaks found'],2023-10-18T04:21:39.897201Z
