Sample Name,Plat 2A S2-EVENT
Method Name,2A_S2_6mins_QC.amx
Name,RT [min],Area,Height,USP Resolution,Tailing,SST
QC1,0.34,75.5446,69.333,,1.1,PASS
QC2,0.65,138.9084,193.495,14.14,1.4,PASS
QC3,1.04,100.1758,115.899,21.66,1.0,PASS
QC4,3.10,242.7297,231.590,87.68,1.0,PASS
Numb,4.00,,,,,
All peaks found

